# https://www.retirebeforedad.com/dividend-aristocrats/?export-supsystic-table=true&type=csv&id=19
,TABLE UPDATED 04/26/2021,,,,,,,,,,,
JNJ,Johnson & Johnson,$164.08 ,28.99,15.75,4.24,2.56%,10.42,2.28,6.83,44.36%,6.17%,19
ROP,Roper Technologies,$432.37 ,48.15,27.43,2.25,0.52%,15.76,2.82,4.33,15.33%,15.44%,19
XOM,Exxon Mobil ,$55.84 ,54.78,13.79,3.48,6.30%,4.05,1.63,1.5,108.65%,3.86%,19
ABT,Abbott Laboratories,$122.59 ,38.4,22.61,1.8,1.46%,5.42,1.51,6.62,35.65%,8.45%,18
AMCR,Amcor,$11.76 ,37.57,17.29,0.47,4.03%,0.68,2.12,3.53,65.52%,0.00%,18
HRL,Hormel Foods ,$46.20 ,28.52,24.84,0.98,2.11%,1.86,5.3,3.81,56.61%,13.21%,18
LEG,Leggett & Platt,$50.88 ,27.91,18.2,1.6,3.17%,2.79,3.8,4.85,64.84%,5.06%,18
PNR,Pentair,$64.08 ,25.88,20.15,0.8,1.24%,3.18,1.73,4.85,26.73%,-2.43%,18
APD,Air Products and Chem,$290.44 ,34.11,27.89,6,2.07%,10.41,3.53,5.07,66.34%,10.11%,17
CTAS,Cintas ,$350.83 ,38.4,34.4,3,0.85%,10.2,2.62,9.66,29.90%,21.76%,17
ED,Consolidated Edison,$76.75 ,23.41,16.99,3.1,4.00%,4.52,6.27,1.39,73.19%,3.31%,17
GWW,W.W. Grainger,$420.99 ,32.84,19.87,6.12,1.44%,21.19,1.72,12.1,32.89%,5.29%,17
MDT,Medtronic,$130.40 ,57.73,22.8,2.32,1.77%,5.72,3.19,3.46,53.55%,10.33%,17
SPGI,S&P Global,$384.41 ,39.79,27.98,3.08,0.79%,13.74,2.78,181.67,24.62%,15.22%,17
TGT,Target ,$203.08 ,23.51,21.07,2.72,1.32%,9.640000000000001,2.05,7.05,30.96%,4.41%,17
BDX,Becton, Dickinson,$257.27 ,48.95,19.24,3.32,1.30%,13.37,8.470000000000001,3.03,25.82%,5.40%,16
ITW,Illinois Tool Works,$227.72 ,34.36,26.04,4.56,2.00%,8.75,2.22,22.68,57.42%,16.75%,16
MMM,3M Company,$200.09 ,21.65,19.14,5.92,2.93%,10.46,2.57,8.99,61.58%,7.48%,16
NEE,NextEra Energy,$77.88 ,36.91,28.53,1.54,1.97%,2.73,3.82,4.09,61.22%,12.70%,16
ALB,Albemarle ,$170.49 ,48.36,34.04,1.56,0.97%,5,1.7,4.26,44.56%,5.86%,15
CLX,Clorox,$187.67 ,19.65,23.18,4.44,2.35%,8.1,4.5,19.94,53.27%,7.52%,15
EMR,Emerson Electric,$92.44 ,26.77,22.08,2.02,2.18%,4.19,2.47,6.22,53.61%,1.24%,15
EXPD,Expeditors Intl of Wash,$109.75 ,26.97,25.17,1.04,0.94%,4.36,5.73,6.99,24.46%,7.63%,15
GPC,Genuine Parts Company,$121.84 ,333.8,19.31,3.26,2.66%,6.31,4.25,5.29,54.22%,5.30%,15
MCD,McDonald\'s ,$232.93 ,36.92,25.21,5.16,2.20%,9.24,1.52,-22.19,61.02%,7.94%,15
MKC,McCormick & Company,$90.52 ,31.9,28.66,1.36,1.49%,3.16,4.79,5.83,45.39%,9.16%,15
PEP,PepsiCo,$143.25 ,26.52,21.8,4.09,2.80%,6.57,2.58,14.19,67.27%,7.81%,15
PG,Procter & Gamble,$131.32 ,24.14,22,3.48,2.60%,5.97,2.81,7.03,61.73%,3.44%,15
SHW,Sherwin-Williams,$270.66 ,36.77,27.82,2.2,0.80%,9.73,3.12,20.23,24.40%,14.87%,15
CVX,Chevron ,$101.83 ,43.77,16.16,5.16,5.08%,6.3,-3.82,1.49,95.41%,3.93%,14
KMB,Kimberly-Clark ,$130.73 ,19.61,16.06,4.56,3.45%,8.140000000000001,4.93,85.22,61.17%,4.03%,14
WMT,Walmart,$138.23 ,29.1,23.63,2.2,1.57%,5.85,4.16,4.82,40.46%,1.97%,14
ADP,Automatic Data Processing,$195.32 ,33.85,30,3.72,1.90%,6.51,3.06,14.17,62.58%,13.18%,13
CL,Colgate-Palmolive,$79.23 ,25.24,22.71,1.8,2.26%,3.49,3.31,90.69,54.93%,3.13%,13
ESS,Essex Property Trust,$297.83 ,34.28,66.93000000000001,8.359999999999999,2.81%,4.45,9.57,3.23,67.95%,7.80%,13
WST,West Pharmaceutical,$323.53 ,70.79000000000001,46.89,0.68,0.21%,6.9,1.93,12.91,10.87%,7.63%,13
CAT,Caterpillar,$230.34 ,42.21,21.3,4.12,1.79%,10.82,3.64,8.199999999999999,48.91%,6.98%,12
KO,Coca-Cola,$53.72 ,32.17,22.77,1.68,3.08%,2.36,2.72,11.38,77.12%,4.44%,12
ECL,Ecolab,$228.51 ,43.67,37.28,1.92,0.85%,6.13,2.55,10.59,37.36%,7.33%,11
O,Realty Income ,$69.26 ,60.73,45.55,2.82,4.06%,1.52,9.039999999999999,2.28,83.50%,4.23%,11
SYY,Sysco ,$82.46 ,130.45,26.01,1.8,2.18%,3.17,2.51,29.47,129.46%,8.45%,11
BF.A,Brown-Forman ,$71.87 ,37.83,38.76,0.72,0.98%,1.9,4.01,13.94,42.30%,5.50%,10
FRT,Federal Realty Inv Trust,$110.14 ,67.98999999999999,65.18000000000001,4.24,3.86%,1.69,14.38,3.67,93.90%,3.47%,9
VFC,V.F. Corp,$87.80 ,111.9,29.35,1.96,2.27%,2.99,6.49,10.94,148.68%,9.05%,8
